rank,combination,mean_decision_distance,min_pair_distance,max_pair_distance,historical_2023_set
177,DM | EAA | FAA | QSF | RAA,0.8531738371437998,0.66262737884406,0.9833333333333334,False
178,ADM | KDA | LAA | QSF | RAA,0.8530327730471445,0.6101254480286739,0.971830985915493,False
179,ADM | BAA_Aggressive | DAA | DM | RAA,0.8528992936326023,0.6722152864474961,0.9833333333333334,False
180,ADM | FAA | LAA | PAA | QSF,0.8527717341482337,0.6207275577645948,0.971830985915493,False
181,BAA_Aggressive | DM | FAA | RAA | VAA,0.8527236216676309,0.6982793498867158,0.9833333333333334,False
182,DM | GPM | LAA | RAA | VAA,0.8527148658321468,0.6101254480286739,0.9833333333333334,False
183,AAA | BAA_Aggressive | DM | QSF | RAA,0.8527026100240869,0.7306975293160801,0.9833333333333334,False
184,ADM | DAA | FAA | LAA | RAA,0.8526986617033613,0.6101254480286739,0.971830985915493,False
185,DM | FAA | GPM | GTAA | LAA,0.8526235395467865,0.6973058880504235,0.9782608695652174,False
186,AAA | ADM | FAA | QSF | RAA,0.852530839879608,0.6618125940389378,0.9685534591194968,False
187,AAA | ADM | FAA | LAA | RAA,0.8525255827903526,0.6101254480286739,0.971830985915493,False
188,ADM | DAA | DM | FAA | RAA,0.8525182871326823,0.6386287149357383,0.9833333333333334,False
189,AAA | DM | GTAA | LAA | QSF,0.8525168395236958,0.6509201041906078,0.9782608695652174,False
190,AAA | BAA_Aggressive | DM | FAA | LAA,0.8524976317363482,0.6618125940389378,0.9782608695652174,False
191,BAA_Aggressive | DM | QSF | RAA | VAA,0.8524681169767285,0.6982793498867158,0.9833333333333334,False
192,DM | FAA | PAA | QSF | RAA,0.8523804309925671,0.6207275577645948,0.9833333333333334,False
193,ADM | BAA_Aggressive | FAA | KDA | LAA,0.8523245434179314,0.6910555849523415,0.971830985915493,False
194,ADM | BAA_Aggressive | DM | EAA | LAA,0.8523230765020597,0.6722152864474961,0.9782608695652174,False
195,ADM | DAA | GTAA | QSF | RAA,0.8522351749720034,0.710178099565871,0.94245658087466,False
196,ADM | DM | EAA | FAA | RAA,0.8522222381677391,0.6722152864474961,0.9833333333333334,False
197,ADM | DM | FAA | KDA | RAA,0.852070905540341,0.6722152864474961,0.9833333333333334,False
198,ADM | BAA_Aggressive | FAA | LAA | VAA,0.851941240397507,0.6982793498867158,0.971830985915493,False
199,BAA_Balanced | DM | GTAA | LAA | RAA,0.851802039402787,0.6101254480286739,0.9833333333333334,False
200,ADM | BAA_Aggressive | DM | KDA | RAA,0.8515514447932164,0.6722152864474961,0.9833333333333334,False
201,BAA_Aggressive | DM | FAA | PAA | RAA,0.8515380448701464,0.7284918706559762,0.9833333333333334,False
202,ADM | BAA_Aggressive | FAA | LAA | PAA,0.8514925584519226,0.7284918706559762,0.971830985915493,False
203,BAA_Aggressive | DAA | DM | GTAA | LAA,0.8514772305134735,0.7026323957812348,0.9782608695652174,False
204,ADM | BAA_Aggressive | DM | PAA | RAA,0.8514610235622266,0.6722152864474961,0.9833333333333334,False
205,BAA_Aggressive | DM | GPM | LAA | QSF,0.8514046169360938,0.6119069769138721,0.9782608695652174,False
206,AAA | DM | LAA | RAA | VAA,0.8513377491882874,0.6101254480286739,0.9833333333333334,False
207,ADM | GTAA | QSF | RAA | VAA,0.8513166601359448,0.733739837398374,0.94245658087466,False
208,ADM | DM | GPM | GTAA | RAA,0.8509324188236503,0.6722152864474961,0.9833333333333334,False
209,AAA | ADM | DM | LAA | RAA,0.8508558112977344,0.6101254480286739,0.9833333333333334,False
210,AAA | BAA_Balanced | DM | LAA | QSF,0.8504217243305817,0.6173868639610561,0.9782608695652174,False
211,ADM | DM | GTAA | RAA | VAA,0.8503219253352642,0.6722152864474961,0.9833333333333334,False
212,BAA_Balanced | DM | GTAA | LAA | VAA,0.8503023081054526,0.6956911375661375,0.9782608695652174,False
213,DM | FAA | GTAA | RAA | VAA,0.8502713000228729,0.6973058880504235,0.9833333333333334,False
214,ADM | DM | LAA | PAA | VAA,0.8502445643440915,0.6722152864474961,0.9782608695652174,False
215,ADM | BAA_Aggressive | LAA | RAA | VAA,0.850220035226856,0.6101254480286739,0.971830985915493,False
216,ADM | DM | GTAA | LAA | PAA,0.8501978860151056,0.6722152864474961,0.9782608695652174,False
217,ADM | BAA_Aggressive | GTAA | LAA | RAA,0.8501935332518329,0.6101254480286739,0.971830985915493,False
218,ADM | DM | LAA | PAA | RAA,0.8501166574977066,0.6101254480286739,0.9833333333333334,False
219,ADM | FAA | LAA | PAA | RAA,0.849896212174899,0.6101254480286739,0.971830985915493,False
220,ADM | EAA | FAA | LAA | QSF,0.8497967739448056,0.66262737884406,0.971830985915493,False
221,BAA_Balanced | DAA | DM | LAA | QSF,0.8495856140359225,0.48759873106542545,0.9782608695652174,False
222,DM | GPM | LAA | QSF | VAA,0.849538107272522,0.7091522244848897,0.9782608695652174,False
223,DM | GPM | GTAA | LAA | VAA,0.8493905664422747,0.7091522244848897,0.9782608695652174,False
